position,rank,player,team,note,note_source
QB,1,Lamar Jackson,BAL,Lamar picked up where he left off and the Saints secondary is nothing to be scared of. He runs when he wants to and that is the whole ballgame at this position. Still QB1.,mc_style
QB,2,Jalen Hurts,PHI,Three touchdowns in week one and now he gets a Titans defense that could not stop anyone through the air. The tush push is still the best goalline play in football. Start him everywhere.,mc_style
QB,3,Josh Allen,BUF,Thirty five points and two rushing scores. Nobody is scoring more ways than Josh Allen right now. Detroit can score with Buffalo which is exactly what you want.,mc_style
QB,4,Joe Burrow,CIN,"The back is the worry, not the matchup. Houston got shredded in week one and Joe will feast if he is upright. Watch the reports Saturday night and have a backup ready.",mc_style
QB,5,Dak Prescott,DAL,Two scores in a quiet week and now a division game at home. Dak throws it a lot when the Cowboys are behind and the Cowboys are usually behind. Safe floor.,mc_style
QB,6,Trevor Lawrence,JAX,"Four touchdowns is four touchdowns. I know Denver is the tougher test and I know he barely ran, but the Jaguars are letting him throw and he is finally hitting. I am buying.",mc_style
QB,7,Caleb Williams,CHI,Thirty seven points and he did it with his legs. Ten carries for a quarterback is startling usage and Minnesota just lost their starter. This is the week he goes from fun to must start.,mc_style
QB,8,Justin Herbert,LAC,Quiet opener against Arizona and an interception on top. The talent is not in question but the Raiders will keep this one low scoring. I am fading a little until the offense finds its rhythm.,mc_style
QB,9,Jared Goff,DET,"Goff in a shootout in Buffalo is a fine place to be. He will not run for anything so he needs the touchdowns to come, and in this game they should.",mc_style
QB,10,Drake Maye,NE,Three picks in the opener is not what you want to see. He ran seven times though and that keeps the floor up. Pittsburgh is a real defense so temper it this week.,mc_style
QB,11,Jayden Daniels,WAS,The legs are always there and Dallas cannot cover anybody. Divisional road game keeps it interesting but the rushing floor makes him startable every week.,mc_style
QB,12,Jaxson Dart,NYG,Eleven carries and three touchdowns from a rookie. Nobody saw that coming and I am not going to pretend I did. The Rams are middling against the pass and he is worth the ride.,mc_style
QB,13,Matthew Stafford,LA,"Four points. That is the whole story. He gets the Giants at home which should fix it, but the arm looked tired and I am not paying up.",mc_style
QB,14,Baker Mayfield,TB,No passing touchdowns and he still put up seventeen because he ran one in. Cleveland has been the softest pass defense in the league so far. Revenge game narrative and a real matchup.,mc_style
QB,15,Brock Purdy,SF,Three touchdowns and he moved around well. Miami cannot get a stop and the Niners are at home. This is a top ten quarterback week and I am treating it like one.,mc_style
QB,16,Patrick Mahomes,KC,"Everyone wants to be out on Mahomes and I understand why, but Indianapolis has given up more through the air than almost anyone. He ran one in last week too. Buying the bounce back.",mc_style
QB,17,Bo Nix,DEN,Seven points and now he draws the best pass defense on the slate. I like Nix long term but this is a week to look elsewhere.,mc_style
