rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,1,Trey McBride,ARI,SEA,1,13.823,13.823,7.278,12.884,26.167,0.625,"18.5-point implied total against the 6th-best pass defense by EPA last year. They rank 14th of 32 against the pass in week 1. Projected 11.5 targets, a 29% target share, 0.8 red-zone look, 85% of the snaps. Last week he had 13 targets, a 35% target share and 80% of the snaps. Range 7-26 around a median of 13, 62% shot at a top-12 week.",
2,13,Mark Andrews,BAL,NO,1,11.111,8.617,5.216,11.03,19.794,0.498,"4th-highest implied total (27.5) against the 12th-best pass defense by EPA last year. They rank 19th of 32 against the pass in week 1. Projected 5.1 targets, a 20% target share, 0.9 red-zone look, 66% of the snaps. Last week he had 6 targets, a 25% target share and 72% of the snaps. Range 5-20 around a median of 11, 50% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom. New HC.",
3,10,Travis Kelce,KC,IND,1,10.772,8.911,5.373,10.675,17.999,0.475,"5th-highest implied total (27.0) against a mid-pack pass defense last year. They rank 31st of 32 against the pass in week 1. Projected 5.7 targets, a 19% target share, 0.6 red-zone look, 67% of the snaps. Last week he had 5 targets, a 20% target share and 71% of the snaps. Range 5-18 around a median of 11, 48% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
4,15,Dalton Schultz,HOU,CIN,1,10.593,8.398,5.108,10.162,19.863,0.443,"24.5-point implied total against 5th-worst pass defense by EPA last year. They rank 2nd of 32 against the pass in week 1. Projected 7.1 targets, a 19% target share, 68% of the snaps. Last week he had 8 targets, a 22% target share and 66% of the snaps. Range 5-20 around a median of 10, 44% shot at a top-12 week.",
5,5,Sam LaPorta,DET,BUF,0,10.377,10.377,4.377,9.693,21.004,0.394,"24.5-point implied total against the 7th-best pass defense by EPA last year. They rank 17th of 32 against the pass in week 1. Projected 6.7 targets, a 16% target share, 84% of the snaps. Last week he had 8 targets, a 20% target share and 81% of the snaps. Range 4-21 around a median of 10, 39% shot at a top-12 week.",
6,8,Dallas Goedert,PHI,TEN,0,10.175,9.471,4.827,8.952,18.916,0.432,"23.2-point implied total against 4th-worst pass defense by EPA last year. They rank 28th of 32 against the pass in week 1. Projected 5.2 targets, a 19% target share, 0.7 red-zone look, 89% of the snaps. Last week he had 5 targets, a 23% target share and 95% of the snaps. Range 5-19 around a median of 9, 43% shot at a top-12 week.",
7,3,Tyler Warren,IND,KC,0,9.728,10.772,4.88,9.485,18.106,0.377,"20.5-point implied total against a mid-pack pass defense last year. They rank 11th of 32 against the pass in week 1. Projected 5.8 targets, an 18% target share, 0.7 red-zone look, 83% of the snaps. Last week he had 5 targets, a 17% target share and 93% of the snaps. Range 5-18 around a median of 9, 38% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
8,22,Cade Otton,TB,CLE,1,9.471,7.206,4.0,8.66,18.98,0.37,"24.5-point implied total against a top-4 pass defense by EPA last year. They rank 32nd of 32 against the pass in week 1. Projected 5.2 targets, a 16% target share, 95% of the snaps. Last week he had 5 targets, an 18% target share and 98% of the snaps. Range 4-19 around a median of 9, 37% shot at a top-12 week.",
9,14,Dalton Kincaid,BUF,DET,1,9.431,8.455,4.339,8.781,17.939,0.393,"Highest implied total (29.0) against a mid-pack pass defense last year. They rank 9th of 32 against the pass in week 1. Projected 5.0 targets, a 16% target share, 56% of the snaps. Last week he had 6 targets, a 21% target share and 72% of the snaps. Range 4-18 around a median of 9, 39% shot at a top-12 week.",
10,17,Michael Mayer,LV,LAC,0,8.911,8.171,4.354,8.44,17.495,0.304,"5th-lowest implied total (18.2) against the 9th-best pass defense by EPA last year. They rank 24th of 32 against the pass in week 1. Projected 5.6 targets, an 18% target share, 71% of the snaps. Last week he had 7 targets, a 24% target share and 81% of the snaps. Range 4-17 around a median of 8, 30% shot at a top-12 week. New HC.",
