rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,1,Trey McBride,ARI,SF,0,14.2,14.2,7.675,13.315,25.723,0.641,"19.5-point implied total against 8th-worst pass defense by EPA last year. They rank 11th of 32 against the pass through 2 games. Projected 11.0 targets, a 32% target share, 0.8 red-zone look, 84% of the snaps. Across 2 games he has averaged 11.5 targets a game, a 37% target share and 80% of the snaps. Range 8-26 around a median of 13, 64% shot at a top-12 week.",
2,15,Dalton Schultz,HOU,IND,0,12.663,8.472,6.289,12.458,22.732,0.56,"23.0-point implied total against a mid-pack pass defense last year. They rank 31st of 32 against the pass through 2 games. Projected 9.4 targets, a 22% target share, 68% of the snaps. Across 2 games he has averaged 11.0 targets a game, a 25% target share and 66% of the snaps. Range 6-23 around a median of 12, 56% shot at a top-12 week.",
3,9,Travis Kelce,KC,MIA,0,12.251,9.381,6.012,12.222,19.515,0.534,"Highest implied total (29.0) against 6th-worst pass defense by EPA last year. They rank 32nd of 32 against the pass through 2 games. Projected 7.5 targets, a 21% target share, 0.7 red-zone look, 68% of the snaps. Across 2 games he has averaged 8.0 targets a game, a 23% target share and 71% of the snaps. Range 6-20 around a median of 12, 53% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
4,12,Mark Andrews,BAL,DAL,0,11.842,8.934,5.692,11.825,20.436,0.51,"4th-highest implied total (27.8) against 2nd-worst pass defense by EPA last year. They rank 17th of 32 against the pass through 2 games. Projected 5.7 targets, a 21% target share, 0.9 red-zone look, 68% of the snaps. Across 2 games he has averaged 6.5 targets a game, a 25% target share and 72% of the snaps. Range 6-20 around a median of 12, 51% shot at a top-12 week. New HC.",
5,5,Sam LaPorta,DET,NYJ,1,11.064,11.064,4.042,11.916,18.975,0.498,"5th-highest implied total (27.5) against the worst pass defense in the league by EPA last year. They rank 5th of 32 against the pass through 2 games. Projected 6.8 targets, a 17% target share, 83% of the snaps. Across 2 games he has averaged 7.5 targets a game, a 20% target share and 81% of the snaps. Range 4-19 around a median of 12, 50% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
6,4,Dalton Kincaid,BUF,LAC,1,10.896,11.842,5.49,11.273,18.852,0.477,"2nd-highest implied total (28.8) against the 9th-best pass defense by EPA last year. They rank 23rd of 32 against the pass through 2 games. Projected 6.0 targets, a 20% target share, 61% of the snaps. Across 2 games he has averaged 7.0 targets a game, a 25% target share and 72% of the snaps. Range 5-19 around a median of 11, 48% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
7,3,Tyler Warren,IND,HOU,1,10.515,12.251,5.124,10.627,18.033,0.439,"20.5-point implied total against the best pass defense in the league by EPA last year. They rank 24th of 32 against the pass through 2 games. Projected 6.2 targets, a 20% target share, 0.7 red-zone look, 86% of the snaps. Across 2 games he has averaged 6.0 targets a game, a 20% target share and 93% of the snaps. Range 5-18 around a median of 11, 44% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
8,8,Isaiah Likely,NYG,TEN,1,10.352,10.352,5.645,9.459,19.187,0.386,"21.8-point implied total against 4th-worst pass defense by EPA last year. They rank 26th of 32 against the pass through 2 games. Projected 7.1 targets, a 23% target share, 52% of the snaps. Across 2 games he has averaged 9.0 targets a game, a 29% target share and 49% of the snaps. Range 6-19 around a median of 9, 39% shot at a top-12 week. New HC. New team.",
9,13,Harold Fannin Jr.,CLE,CAR,1,9.381,8.765,4.623,9.361,17.615,0.311,"20.0-point implied total against 9th-worst pass defense by EPA last year. They rank 7th of 32 against the pass through 2 games. Projected 5.2 targets, a 17% target share, 75% of the snaps. Across 2 games he has averaged 4.5 targets a game, a 17% target share and 82% of the snaps. Range 5-18 around a median of 9, 31% shot at a top-12 week. New HC.",
10,23,Cade Otton,TB,MIN,1,9.268,6.871,4.417,8.283,17.039,0.33,"20.5-point implied total against a top-2 pass defense by EPA last year. They rank 18th of 32 against the pass through 2 games. Projected 5.5 targets, a 17% target share, 96% of the snaps. Across 2 games he has averaged 5.5 targets a game, an 18% target share and 98% of the snaps. Range 4-17 around a median of 8, 33% shot at a top-12 week.",
11,20,T.J. Hockenson,MIN,TB,0,9.194,7.226,4.279,9.247,16.091,0.342,"22.0-point implied total against a mid-pack pass defense last year. They rank 21st of 32 against the pass through 2 games. Projected 4.5 targets, a 19% target share, 65% of the snaps. Across 2 games he has averaged 4.5 targets a game, a 21% target share and 66% of the snaps. Range 4-16 around a median of 9, 34% shot at a top-12 week.",
12,11,George Kittle,SF,ARI,1,8.934,9.194,3.434,7.914,18.843,0.316,"3rd-highest implied total (28.0) against 7th-worst pass defense by EPA last year. They rank 28th of 32 against the pass through 2 games. Projected 5.1 targets, a 15% target share, 52% of the snaps. Across 2 games he has averaged 4.5 targets a game, a 17% target share and 46% of the snaps. Range 3-19 around a median of 8, 32% shot at a top-12 week.",
13,10,Juwan Johnson,NO,LV,1,8.765,9.268,3.463,7.885,18.39,0.301,"23.8-point implied total against 10th-worst pass defense by EPA last year. They rank 20th of 32 against the pass through 2 games. Projected 5.7 targets, a 14% target share, 81% of the snaps. Across 2 games he has averaged 5.5 targets a game, a 13% target share and 84% of the snaps. Range 3-18 around a median of 8, 30% shot at a top-12 week.",
14,14,Michael Mayer,LV,NO,0,8.745,8.745,3.857,8.317,17.5,0.285,"20.8-point implied total against the 12th-best pass defense by EPA last year. They rank 22nd of 32 against the pass through 2 games. Projected 5.1 targets, a 16% target share, 74% of the snaps. Across 2 games he has averaged 5.5 targets a game, a 19% target share and 81% of the snaps. Range 4-18 around a median of 8, 28% shot at a top-12 week. New HC.",
15,18,Hunter Henry,NE,JAX,0,8.472,7.359,3.488,7.787,17.311,0.269,"21.2-point implied total against a top-3 pass defense by EPA last year. They rank 1st of 32 against the pass through 2 games. Projected 4.4 targets, a 16% target share, 0.9 red-zone look, 77% of the snaps. Across 2 games he has averaged 4.0 targets a game, a 17% target share and 76% of the snaps. Range 3-17 around a median of 8, 27% shot at a top-12 week.",
16,6,Dallas Goedert,PHI,CHI,0,8.297,10.896,3.152,7.281,17.784,0.283,"23.0-point implied total against a mid-pack pass defense last year. They rank 16th of 32 against the pass through 2 games. Projected 4.2 targets, a 15% target share, 0.7 red-zone look, 91% of the snaps. Across 2 games he has averaged 3.5 targets a game, a 14% target share and 95% of the snaps. Range 3-18 around a median of 7, 28% shot at a top-12 week.",
17,7,Tucker Kraft,GB,ATL,1,8.058,10.515,3.904,8.057,15.311,0.223,"6th-highest implied total (25.2) against a mid-pack pass defense last year. They rank 12th of 32 against the pass through 2 games. Projected 4.8 targets, a 12% target share, 0.6 red-zone look, 65% of the snaps. Across 2 games he has averaged 4.5 targets a game, a 13% target share and 66% of the snaps. Range 4-15 around a median of 8, 22% shot at a top-12 week.",
18,31,Mason Taylor,NYJ,DET,0,7.359,5.516,2.891,6.528,15.26,0.227,"21.0-point implied total against a mid-pack pass defense last year. They rank 27th of 32 against the pass through 2 games. Projected 4.0 targets, a 13% target share, 73% of the snaps. In his one game this season he had 3 targets, a 13% target share and 66% of the snaps. Range 3-15 around a median of 7, 23% shot at a top-12 week.",
19,16,Jake Ferguson,DAL,BAL,1,7.241,8.297,2.639,7.371,15.134,0.195,"24.8-point implied total against 12th-worst pass defense by EPA last year. They rank 13th of 32 against the pass through 2 games. Projected 4.0 targets, a 12% target share, 0.8 red-zone look, 71% of the snaps. Across 2 games he has averaged 3.0 targets a game, a 10% target share and 76% of the snaps. Range 3-15 around a median of 7, 20% shot at a top-12 week.",
20,21,Pat Freiermuth,PIT,CIN,1,7.226,7.196,2.827,6.364,14.664,0.195,"19.5-point implied total against 5th-worst pass defense by EPA last year. They rank 2nd of 32 against the pass through 2 games. Projected 4.5 targets, a 13% target share, 66% of the snaps. Across 2 games he has averaged 5.0 targets a game, a 14% target share and 73% of the snaps. Range 3-15 around a median of 6, 20% shot at a top-12 week. New HC.",
21,24,Mike Gesicki,CIN,PIT,0,7.196,6.768,2.331,5.451,17.803,0.227,"23.0-point implied total against a mid-pack pass defense last year. They rank 19th of 32 against the pass through 2 games. Projected 5.2 targets, a 15% target share, 37% of the snaps. In his one game this season he had 7 targets, a 21% target share and 33% of the snaps. Range 2-18 around a median of 5, 23% shot at a top-12 week.",
22,29,Terrance Ferguson,LA,DEN,0,7.169,5.922,2.835,6.723,14.334,0.219,"24.0-point implied total against a top-5 pass defense by EPA last year. They rank 14th of 32 against the pass through 2 games. Projected 4.1 targets, a 14% target share, 53% of the snaps. Across 2 games he has averaged 5.0 targets a game, a 17% target share and 51% of the snaps. Range 3-14 around a median of 7, 22% shot at a top-12 week.",
