position,rank,player,team,note,note_source
QB,1,Josh Allen,BUF,"Houston is the toughest week one draw any elite quarterback got and it does not matter. Allen runs, Allen throws, Allen finishes as the QB1 more weeks than not. Start him and stop thinking about it.",mc_style
QB,2,Lamar Jackson,BAL,"Indianapolis has to account for Henry first and that is exactly the problem. Lamar picks apart whatever is left over, and the rushing floor keeps him locked in at the top of the position.",mc_style
QB,3,Joe Burrow,CIN,The whole Cincinnati offense is a buy this week and Burrow is the engine. Expect a high scoring game in Tampa Bay and expect him to throw it plenty.,mc_style
QB,4,Jalen Hurts,PHI,"A divisional opener against Washington always gets ugly, and Hurts wins ugly games with his legs. Expect goalline work nobody else at the position gets.",mc_style
QB,5,Jayden Daniels,WAS,"The other side of that same divisional slugfest. Daniels is the rare young quarterback whose floor is built on rushing, so a rough passing day still pays out.",mc_style
QB,6,Caleb Williams,CHI,Carolina is the friendliest matchup on the board for a quarterback trying to prove the leap is real. Expect Williams to push it to Burden and Odunze early and often.,mc_style
QB,7,Drake Maye,NE,I love what Maye is building with AJ Brown and Seattle is a nasty first assignment. Consensus has him a tier too high and that is a week too early. Expect the connection to be real and the box score to be modest.,mc_style
QB,8,Justin Herbert,LAC,Herbert has the arm and now he has the receivers to go with it. Arizona gives up enough through the air to make this a comfortable start.,mc_style
QB,9,Trevor Lawrence,JAX,"Cleveland's front is still the best thing about that team and Lawrence has never loved pressure. Fine as a low end starter, nothing more.",mc_style
QB,10,Dak Prescott,DAL,Two elite receivers and a divisional matchup he has feasted on for years. Expect Dak to spread it around and put up a clean line.,mc_style
QB,11,Brock Purdy,SF,"Purdy is only as good as the room around him, and this one is stocked. A divisional game caps the ceiling but the floor is solid.",mc_style
QB,12,Bo Nix,DEN,Kansas City in week one is a rough draw for a quarterback who needs structure. Startable in deeper formats and nowhere else.,mc_style
QB,13,Jaxson Dart,NYG,"Dart against a Dallas defense that gives up yards in bunches. Expect volume, expect a mistake or two, and expect the line to swing either way.",mc_style
QB,14,Patrick Mahomes,KC,"I have him lower than most and it probably is too low, but that offense has not looked like itself and Denver's defense is real. I need to see it before I move him back up.",mc_style
QB,15,Baker Mayfield,TB,Mayfield gets the other half of the Cincinnati shootout and nobody is talking about it. Consensus has him buried. Expect him to throw forty times and make that look silly.,mc_style
QB,16,Jared Goff,DET,New Orleans is exactly the kind of defense Goff carves up. The Amon-Ra connection does the heavy lifting and the rest takes care of itself.,mc_style
