rank_data,rank_vibes,player,team,note_data,note_vibes
1,2,Cameron Dicker,LAC,"87.5% venue rate at home. 93.5% on 138 career kicks, weighted 0.58.",
2,1,Spencer Shrader,IND,"87.9% venue rate at home. 94.7% on 19 career kicks, weighted 0.16.",
3,9,Brandon Aubrey,DAL,"86.5% venue rate at MetLife Stadium. 88.2% on 127 career kicks, weighted 0.56.",
4,11,Chris Boswell,PIT,"86.1% venue rate at home. 87.7% on 341 career kicks, weighted 0.77.",
5,5,Eddy Pineiro,SF,"85.2% venue rate at Melbourne Cricket Ground. 89.7% on 155 career kicks, weighted 0.61.",
6,26,Jake Bates,DET,"88.8% venue rate at home. 84.1% on 63 career kicks, weighted 1.00.",
7,20,Trey Smack,GB,"87.3% venue rate at U.S. Bank Stadium. No NFL attempts yet, so his own rate is the league average.",
8,16,Jason Myers,SEA,"86.9% venue rate at home. 85.6% on 347 career kicks, weighted 0.78.",
9,6,Andre Szmyt,CLE,"86.3% venue rate at EverBank Stadium. 88.9% on 27 career kicks, weighted 0.21.",
10,4,Cam Little,JAX,"84.9% venue rate at home. 90.5% on 63 career kicks, weighted 0.39.",
11,22,Chase McLaughlin,TB,"87.1% venue rate at Paycor Stadium. 84.9% on 186 career kicks, weighted 1.00.",
12,19,Drew Stevens,WAS,"86.5% venue rate at Lincoln Financial Field. No NFL attempts yet, so his own rate is the league average.",
13,10,Will Reichard,MIN,"85.3% venue rate at home. 87.7% on 65 career kicks, weighted 0.39.",
14,13,Riley Patterson,MIA,"85.2% venue rate at Allegiant Stadium. 87.4% on 103 career kicks, weighted 0.51.",
15,29,Ryan Fitzgerald,CAR,"88.4% venue rate at home. 82.8% on 29 career kicks, weighted 1.00.",
16,3,Harrison Mevis,LA,"85.2% venue rate at home. 92.3% on 13 career kicks, weighted 0.12.",
17,7,Harrison Butker,KC,"83.3% venue rate at home. 88.4% on 284 career kicks, weighted 0.74.",
18,15,Wil Lutz,DEN,"84.7% venue rate at GEHA Field at Arrowhead St. 86.1% on 295 career kicks, weighted 0.75.",
19,8,Tyler Loop,BAL,"84.6% venue rate at Lucas Oil Stadium. 88.2% on 34 career kicks, weighted 0.25.",
20,17,Cairo Santos,CHI,"85.3% venue rate at Bank of America Stadium. 85.3% on 312 career kicks, weighted 0.76.",
21,23,Tyler Bass,BUF,"86.0% venue rate at NRG Stadium. 84.5% on 155 career kicks, weighted 1.00.",
22,12,Ka'imi Fairbairn,HOU,"83.3% venue rate at home. 87.6% on 291 career kicks, weighted 0.74.",
23,31,Joey Slye,TEN,"88.5% venue rate at home. 81.4% on 215 career kicks, weighted 1.00.",
24,18,Dominic Zvada,NYG,"84.6% venue rate at home. No NFL attempts yet, so his own rate is the league average.",
25,14,Daniel Carlson,NO,"83.2% venue rate at Ford Field. 86.9% on 259 career kicks, weighted 0.72.",
26,28,Evan McPherson,CIN,"86.3% venue rate at home. 83.2% on 143 career kicks, weighted 1.00.",
27,25,Matt Gay,LV,"85.2% venue rate at home. 84.3% on 216 career kicks, weighted 1.00.",
28,27,Jake Elliott,PHI,"85.3% venue rate at home. 83.7% on 258 career kicks, weighted 1.00.",
29,21,Nick Folk,ATL,"83.7% venue rate at Acrisure Stadium. 85.0% on 507 career kicks, weighted 1.00.",
30,30,Blake Grupe,NYJ,"86.6% venue rate at Nissan Stadium. 81.9% on 105 career kicks, weighted 1.00.",
31,24,Andy Borregales,NE,"83.0% venue rate at Lumen Field. 84.4% on 32 career kicks, weighted 1.00.",
32,32,Chad Ryland,ARI,"89.9% venue rate at SoFi Stadium. 76.7% on 90 career kicks, weighted 1.00.",
